Number,Name,Address,Latitude,Longitude
3051,3051 - PLACE HENRI,Angle rue Docteur Long/av. Lacassagne,45.748193,4.880641
9006,9006 - THÉÂTRE NOUVELLE GÉNÉRATION,Rue Tissot / angle rue de Bourgogne,45.777287,4.803297
10032,10032 - PRIMAT / DECORPS,Rue Antoine Primat/Angle rue Decorps,45.757173,4.89998
2001,2001 - BELLECOUR / RÉPUBLIQUE (FAR),Angle République / rue de la Barre,45.758,4.834594
2006,2006 - PLACE DE L'HIPPODROME,Angle cours Charlemagne,45.745528,4.82359
3021,3021 - PLACE DE LA FERRANDIÈRE,Intersection Ferrandière/Jasseron,45.759509,4.869894
1016,1016 - PÊCHERIE,Rue de la Platière - Angle quai de la Pêcherie,45.765944,4.831089
10103,10103 - DOUA / RUE DES SPORTS,,45.784526,4.877482
10080,10080 - VAILLANT / PERRONCEL,,45.775409,4.880261
10074,10074 - ZOLA / PASSAGE REY,Cours E. Zola / Angle passage Rey,45.770099,4.876728
5055,5055 - BUYER / APOLLINAIRE,,45.762013,4.802751
10115,10115 - PLACE D'ESPAGNE / STADE KRUGER,,45.754181,4.90528
3024,3024 - ROCKEFELLER / ESQUIROL,Intersection Rockefeller / Esquirol,45.741336,4.885538
7011,7011 - BERTHELOT / GARIBALDI,Rue Garibaldi - Angle avenue Berthelot,45.743756,4.847406
9043,9043 - MARIETTON OUEST,,45.776087,4.799725
3091,3091 - HOPITAL NEUROLOGIQUE,,45.748286,4.896975
10035,10035 - BOIRON GRANGÉ,,45.763139,4.900492
4041,4041 - BOUSSANGES / AUSTERLITZ,,45.775435,4.83512
3088,3088 - PLACE GUICHARD,,45.75882,4.846453
10059,10059 - ANATOLE FRANCE / ZOLA,Rue Anatole France,45.76884,4.884276
8040,8040 - AMBROISE PARÉ,Face au 54 Boulevard Ambroise Paré,45.736289,4.883667
6016,6016 - VIABERT / THIERS,Angle avenue Thiers,45.766002,4.86218
5004,5004 - ST JEAN (FAR),Entre la cathédrale et le funiculaire,45.760468,4.826548
10030,10030 - GREUZE,,45.773845,4.893851
10118,10118 - VOYANT / CHAMBORD,,45.767194,4.900597
10001,10001 - IUT / FEYSSINE,,45.785632,4.882366
10071,10071 - LYCÉE MARIE CURIE,,45.761597,4.896386
9050,9050 - ALLEE DE L'EUROPE,,45.783698,4.794485
10087,10087 - BARATIN,Face au 115 rue Pierre Baratin,45.760603,4.900702
4026,04026 - BIRMINGHAM,Avenue Birmingham, sortie tunnel mode doux côté Saöne - 69000 Lyon,45.774574,4.813656
10041,10041 - KIMMERLING,,45.752923,4.898891
2020,2020 - MUSEE DES CONFLUENCES,Parvis du musée des confluences,45.733388,4.818954
4001,4001 - CONSERVATOIRE BIS,,45.770392,4.814254
5007,5007 - PLACE DE TRION,Place de Trion,45.757916,4.81317
3015,3015 - SERVIENT / GARIBALDI,Angle rue Garibaldi,45.760779,4.85276
9042,9042 - VAISE DOCKS,,45.786533,4.811446
7013,7013 - HALLE TONY GARNIER,93–131 Avenue Tony Garnier 69007 Lyon,45.730786,4.823733
11003,11003 - LA ROCHETTE,Quai Gillet au  niveau de la place de la Rochette. Caluire et Cuire.,45.791748,4.823595
1035,1035 - QUAI LASSAGNE,,45.772191,4.837917
6037,6037 - CITÉ INTERNATIONALE / INTERPOL,Allée A. Lignon,45.782287,4.849378
8057,8057 - VIENNE / MONTAGNY,,45.732483,4.853406
7014,7014 - MARSEILLE / FÉLISSENT,Rue Felissent, angle rue de Marseille,45.752989,4.841417
8007,8007 - FRÈRES LUMIÈRE,Angle rue Villon,45.745018,4.866424
8021,8021 - PAUL SANTY,Place Général André - Face au 126 avenue Paul Santy,45.728542,4.877279
2028,2028- SAINTE-BLANDINE,Face station tram Ste Blandine,45.744438,4.822152
8059,8059 - LAENNEC / PINEL,,45.735375,4.88954
1003,1003 - PLACE SATHONAY,,45.769289,4.830127
2009,2009 - CONFLUENCE DOCKS,Sur l'esplanade entre la rue Hrant Dink et le 40 quai Rambaud,45.739652,4.814984
2011,2011 - SALA / RUE DU PLAT,Face à la faculté catholique,45.756813,4.828342
1001,1001 - TERREAUX / TERME,Angle rue d'Algérie,45.767736,4.832114
7056,7056 - PLACE RASPAIL (FAR),,45.755783,4.840745
8015,8015 - BOULEVARD JEAN XXIII,,45.740324,4.874192
3089,3089 - TRARIEUX / LACASSAGNE,,45.745304,4.888964
10048,10048 - PLACE MARENGO,,45.759176,4.875958
10063,10063 - PERRIN / JEAN JAURÈS,,45.758399,4.885601
3085,3085 - SACRE COEUR,,45.757864,4.868337
2041,2041 - SALA / CHARITE,,45.754468,4.833041
10086,10086 - ANATOLE FRANCE,Angle Rue de Préssensé / Flachet,45.769837,4.889629
10117,10117 - LA PERALLIÈRE,,45.764567,4.892349
9041,9041 - CARRET / SÉDALLIAN,,45.792478,4.820567
1024,1024 - ROUVILLE,,45.769684,4.824607
5005,5005 - SAINT PAUL,Près de la gare de St Paul,45.766278,4.827425
6043,6043 - CITÉ INTERNATIONALE - CINÉMA,,45.784698,4.851896
9040,9040 - PLACE RHODIACETA,,45.770991,4.807578
6008,6008 - PLACE JULES FERRY,,45.7684,4.858972
8060,8060 - SANTY / BEAUVISAGE,,45.731716,4.874231
1022,1022 - PLACE TOLOZAN (FAR),Place Tolozan - Angle nord-est de la place,45.769508,4.837495
3031,3031 - CORNEILLE / SERVIENT,Angle rue Servient,45.759906,4.844511
3043,3043 - PLACE ROUGET DE L'ISLE,Avenue Lacassagne,45.753975,4.867336
6001,6001 - GARE DES BROTTEAUX,,45.766893,4.858922
10114,10114 - BEL AIR / LES BROSSES,,45.757931,4.910776
10038,10038 - CONDORCET,Bvd 11 Nov./prox. arret tram Condorcet,45.779062,4.866874
10060,10060 - SAINT EXUPÉRY,Avenue Antoine Saint Exupery,45.758805,4.87889
4005,4005 - PLACE BERTONE,Rue du Chariot d'Or,45.77762,4.83453
7031,7031 - JAURÈS / GERLAND,42 Rue de Gerland 69007 Lyon,45.739827,4.840308
10043,10043 - SALENGRO / FEYSSINE,,45.782994,4.890614
8037,8037 - CAZENEUVE,Rue Paul Cazeneuve - Angle du boulevard des Etats-Unis,45.734027,4.862906
7018,7018 - LYCEE LOUISE LABE,2 Rue Crépet 69007 Lyon,45.740279,4.832061
2015,2015 - PLACE DE LA RÉPUBLIQUE (FAR),Côté est de la place,45.760905,4.836142
4017,4017 - PLACE DES TAPIS,Angle Bvd de la Croix-Rousse,45.776002,4.829628
10046,10046 - CHARMETTES/ZOLA,Rue des Charmettes/Angle Cours Emile Zola,45.770705,4.867201
7046,7046 - PLACE DE L'ECOLE,Angle rue de St Cloud,45.730083,4.82781
7002,7002 - UNIVERSITÉS LYON III / LYON II (FAR),Quai Claude Bernard,45.751404,4.836395
3002,3002 - PART-DIEU / GARE SNCF (FAR),,45.760139,4.85873
10102,10102 - DOUA / G. BERGER,,45.781008,4.871219
6023,6023 - QUAI SARRAIL,Niveau rue de Sèze,45.766821,4.841095
7034,7034 - PISCINE DU RHÔNE,Sur le quai devant l'entrée de la piscine,45.753705,4.838283
1020,1020 - TERREAUX / CHENAVARD,Rue Chenavard - Côté place des Terreaux,45.766763,4.832942
10064,10064 - 4 AOÛT 1789,Angle Rue Rollet/Blanqui,45.764812,4.884311
8020,8020 - MOULIN A VENT,,45.729743,4.854022
10101,10101 - EINSTEIN / BOULEVARD DU 11 NOVEMBRE,,45.779429,4.873992
7022,7022 - JAURÈS / LAGRANGE,16 Impasse du Pré Gaudry 69007 Lyon,45.743975,4.841463
7020,7020 - PARC DE GERLAND,Allée Pierre de Coubertin,45.724352,4.826821
10031,10031 - CROIX LUIZET,,45.780679,4.88356
4011,4011 - PLACE JEAN AMBRE,Place Jean Ambre,45.781574,4.832866
1002,1002 - OPÉRA (FAR),Angle rue Serlin - Angle place de la comédie,45.767524,4.836306
2042,2042 - JOFFRE / VAUBECOUR,,45.751873,4.824763
9032,9032 - PLACE DU PORT MOUTON,Quai Arloing, Côté Saône,45.773815,4.809566
11002,11002 - SAINT CLAIR,,45.785465,4.847838
3003,3003 - PART-DIEU / DERUELLE (FAR),Face rue Massena, entrée centre commercial,45.762974,4.855071
9002,9002 - MAIRIE DU 9°,Prox. métro Valmy,45.774241,4.805676
10039,10039 - BOUVIER,Rue Professeur Bouvier/Angle rue du 8 mai 1945,45.779487,4.891692
6006,6006 - BOULEVARD DES BELGES,Boulevard des Belges - Angle rue Duquesne,45.773304,4.852001
5008,5008 - SAINTE IRÉNÉE,Place Sainte Irénée,45.754978,4.812427
1021,1021 - TERREAUX / BEAUX ARTS,Rue Herriot - Devant Musée des Beaux Arts,45.766832,4.834267
2007,2007 - PATINOIRE CHARLEMAGNE,Angle rue Casimir Périer,45.742617,4.820464
3044,3044 - QUAI AUGAGNEUR (FAR),Entre rue de Bonnel et rue Rabelais,45.762023,4.841053
3001,3001 - PART-DIEU / VIVIER MERLE (FAR),Derrière la station de tram,45.76027,4.858454
10025,10025 - TOTEM,,45.763652,4.873158
8034,8034 - BERTHELOT / VILLON,Angle avenue Berthelot,45.738301,4.862727
3084,3084 - DESAIX,,45.757268,4.855193
3038,3038 - VIVIER MERLE / PAUL BERT,Devant le bâtiment de la CAFAL,45.757415,4.858911
7004,7004 - MAIRIE DU 7ÈME (FAR),Place Jean Macé - Face à la mairie,45.746124,4.841924
5009,5009 - PLACE FOUSSERET,angle quai de Bondy,45.764695,4.828969
8030,8030 - LAËNNEC,Angle rue Nungesser et Coli,45.741425,4.879733
5036,5036 - LA SALETTE,,45.749627,4.795546
10027,10027 - MAIRIE DE VILLEURBANNE,Avenue Aristide Briand, en face de la mairie,45.766861,4.880059
10036,10036 - STALINGRAD,Boulevard Stalingrad/angle rue Charlie Chaplin,45.77435,4.859157
2030,2030 - RÉPUBLIQUE / POULAILLERIE (FAR),Angle Poulaillerie / République,45.764079,4.835554
7057,7057 - JAURES / BOLLIER,217b–221 Avenue Jean Jaurès 69007 Lyon,45.734712,4.835486
7052,7052 - PARC BLANDAN,Rue de l'Epargne,45.745939,4.851214
7001,7001 - PLACE GABRIEL PÉRI (FAR),Place Gabriel Péri,45.754875,4.843627
8052,8052 - CLINIQUE MONPLAISIR,,45.747032,4.859612
10013,10013 - CUSSET,,45.764961,4.901018
1032,1032 - PIZAY (FAR),,45.767165,4.836334
2002,2002 - BELLECOUR / ST EXUPÉRY,Côté rue Lintier,45.758149,4.830428
3087,3087 - PART-DIEU / GARIBALDI,,45.762768,4.852563
9004,9004 - GARE DE VAISE,Face entrée de la gare,45.779786,4.804666
3018,3018 - CRÉQUI / VOLTAIRE,Angle rue Paul Bert,45.756596,4.848442
3010,3010 - PART-DIEU / CUIRASSIERS (FAR),Angle rue Bouchut,45.759376,4.855958
10056,10056 - 11 NOVEMBRE / GASTON BERGER,Avenue du 11 Nov./angle av Gaston Berger,45.779066,4.871581
3029,3029 - PLACE ARISTIDE BRIAND,Angle Gambetta,45.752967,4.850271
10061,10061 - RÉPUBLIQUE,Cours Emile Zola/Angle cours de la République,45.77081,4.872844
4003,4003- PLACE COMMANDANT  ARNAUD,Angle rue de Belfort,45.779731,4.834708
7064,7064 - CROUS,,45.74541,4.847843
3082,3082 - PLACE BAHADOURIAN,,45.757672,4.845111
5050,5050 - THEATRE ROMAIN,,45.758333,4.821075
3007,3007 - PLACE D'ARSONVAL (FAR),A côté du stand de fleurs,45.743396,4.87897
6007,6007 - MASSÉNA,Angle Cours Vitton,45.769654,4.852366
9051,9051 - ANDREI SAKHAROV,,45.786546,4.797107
7012,7012 - PLACE DES PAVILLONS,Place des Pavillons - Devant la bibliothèque,45.7295,4.829697
7049,7049 - CITÉ SCOLAIRE INTERNATIONALE,27–33 Rue Alexander Fleming 69007 Lyon,45.727951,4.823563
6005,6005 - PLACE EDGAR QUINET,Devant le lycée,45.765811,4.844767
7010,7010 - CENTRE BERTHELOT,Rue Pasteur - Angle avenue Berthelot,45.747358,4.836009
11001,11001 - GARE DE CUIRE,,45.785796,4.833733
3102,3102 - DR LONG / AUBEPINS,,45.75254,4.894272
10088,10088 - 4 AOÛT 1789 / PRESSENSÉ,,45.766219,4.89788
5054,5054 - CHAMPVERT,,45.763906,4.792643
10116,10116 - BLUM / FAYS,,45.760617,4.906235
10002,10002 - INSA (FAR),Avenue Albert Einstein au niveau du virage,45.782222,4.876951
7016,7016 - PLACE SAINT LOUIS,Rue de la Madeleine - Angle rue St Lazarre,45.748925,4.847714
10054,10054 - STALINGRAD / MELIÈS,,45.776715,4.859573
8004,8004 - MAIRIE DU 8ÈME,Devant la mairie du 8e,45.735158,4.872803
5026,5026 - RUE DE LA BALEINE,Angle quai Romain Rolland,45.763383,4.829024
3079,3079 - PLACE LOUISE,,45.75118,4.884795
2025,2025 - MERCIÈRE / FERRANDIÈRE,Entre rue de Brest et rue Mercière,45.762054,4.833194
5031,5031- MENIVAL/J.CURIE,,45.754654,4.78821
2039,2039 - CHARITÉ / RÉCAMMIER,,45.749257,4.82984
5041,5041 - L'HOMME DE LA ROCHE,,45.766537,4.819936
8003,8003 - CLAUDE BERNARD LYON I,Devant entrée de la fac,45.738135,4.886885
3100,3100 - SISLEY / DAUPHINE,,45.752779,4.868748
1012,1012 - AMPÈRE / BOURSE,Rue de la Bourse - Long du Collège-Lycée Ampère,45.765789,4.836906
8051,8051 - HÔPITAL ST JEAN DE DIEU,,45.724172,4.854165
6036,6036 - MUSÉE D'ART CONTEMPORAIN (FAR),Allée A. Lignon,45.783885,4.852156
7005,7005 - DEBOURG,Avenue Debourg - Angle avenue Jean Jaurès,45.73182,4.833996
6011,6011- MAIRIE DU 6ÈME,Angle rue Boileau,45.768395,4.849402
7061,7061 - JAURES / UNIVERSITE,,45.748545,4.843249
2005,2005 - CONFLUENCE HÔTEL DE RÉGION,101 cours Charlemagne Lyon 2 direction centre ville. Devant l'hôtel de Région,45.740675,4.819284
5030,5030 - CHARCOT / RÉSIDENCE UNIVERSITAIRE,Angle rue du fort Ste Irénée / Charcot,45.755054,4.807811
8039,8039 - PIERRE DELORE,,45.738617,4.852412
7062,7062 - GARIBALDI / DOMER,,45.747735,4.85162
8002,8002- PLACE AMBROISE COURTOIS,Face au cours Albert Thomas,45.745296,4.871604
10007,10007 - PIATON / CONDORCET,Av Piaton / angle Condorcet,45.774204,4.867512
9033,9033 - GORGE DE LOUP,,45.767484,4.805626
5001,5001 - PLACE VARILLON (FUNICULAIRE ST JUST),Devant le n°63 rue de Trion,45.757319,4.815064